#{"t_start": 1621788826.2877219, "env_id": null}
r,l,t
4.477457,49,19.744585
7.298601,49,19.785581
7.172802,49,19.806049
8.254467,49,19.848518
7.055604,49,19.86797
8.314078,49,19.885978
8.46797,49,19.921003
6.903597,49,19.938041
7.68221,49,19.988021
5.729467,49,20.006762
7.028284,49,20.024983
6.780918,49,20.059434
7.551741,49,20.07757
7.084048,49,20.095682
8.288097,49,20.129858
7.490757,49,20.148183
8.148005,49,20.181691
6.603562,49,20.199482
8.040924,49,20.216643
7.850867,49,20.250154
7.479492,49,20.267691
7.383733,49,20.285242
8.102733,49,20.319509
7.528575,49,20.336384
7.046473,49,20.371189
7.910693,49,20.388965
8.225633,49,20.419799
6.798178,49,20.498523
5.856986,49,20.53034
5.034802,49,20.596027
7.689128,49,20.620582
7.514433,49,20.645585
7.34796,49,20.688018
7.52567,49,20.705986
7.37089,49,20.722418
7.658968,49,20.75998
6.105793,49,20.777066
7.445969,49,20.811121
7.004078,49,20.82801
7.14268,49,20.846149
7.557801,49,20.880424
8.202862,49,20.897664
6.61616,49,20.930464
6.680338,49,20.948775
7.940374,49,20.965477
6.002991,49,20.999942
7.68799,49,21.017918
6.091334,49,21.034773
7.202999,49,21.068497
7.753497,49,21.090381
7.751512,49,21.123343
8.221484,49,21.140695
7.949794,49,21.157893
7.926791,49,21.190851
7.146616,49,21.20846
6.661448,49,21.242203
6.27495,49,21.265871
5.89955,49,21.285944
8.08261,49,21.327005
8.039527,49,21.347122
7.640252,49,21.366356
6.782668,49,21.403384
8.179853,49,21.421633
7.824165,49,21.455339
7.508783,49,21.473403
8.090708,49,21.491566
7.279059,49,21.531036
7.78062,49,21.550082
8.121108,49,21.568842
8.137622,49,21.617924
7.122805,49,21.637212
7.586143,49,21.674625
7.96019,49,21.692356
7.29565,49,21.710165
8.105065,49,21.743908
7.302838,49,21.761054
7.245816,49,21.795617
6.066483,49,21.815201
4.71707,49,21.835981
6.790591,49,21.876442
7.21068,49,21.896514
8.097694,49,21.916525
6.87441,49,21.955618
7.897627,49,21.975209
7.806113,49,22.019426
7.000669,49,22.040035
6.911052,49,22.058429
7.4577,49,22.095568
7.936429,49,22.114527
7.357393,49,22.153201
7.773697,49,22.177959
8.107798,49,22.195905
8.082822,49,22.235532
7.799613,49,22.254831
7.352345,49,22.273014
7.957559,49,22.312071
7.429639,49,22.331321
7.927244,49,22.368137
7.883969,49,22.386343
8.328549,49,22.405135
7.404693,49,22.442293
7.321032,49,22.461788
7.737791,49,22.478956
7.457522,49,22.513707
8.40903,49,22.530966
6.76016,49,22.565094
7.936975,49,22.584224
8.321191,49,22.603086
7.875556,49,22.63847
8.049982,49,22.655251
6.297416,49,22.699065
6.374119,49,22.716763
7.05218,49,22.733993
8.257381,49,22.769691
7.75872,49,22.788935
8.426648,49,22.809052
5.987487,49,22.845882
7.837007,49,22.866301
7.88484,49,22.911855
8.3017,49,22.935127
7.099421,49,22.960671
7.529159,49,23.003111
5.764567,49,23.020294
8.253453,49,23.060673
4.59037,49,23.081025
7.002164,49,23.100656
8.205493,49,23.13915
8.309818,49,23.15801
8.042711,49,23.177763
7.971903,49,23.214704
7.937848,49,23.244014
5.720842,49,23.31061
5.850268,49,23.341664
8.309818,49,23.387311
7.221441,49,23.484991
7.857912,49,23.549118
8.276725,49,23.608325
7.698794,49,23.631622
8.296976,49,23.652669
6.561323,49,23.697859
7.506488,49,23.721395
7.425663,49,23.742255
7.515309,49,23.785444
7.954842,49,23.806227
7.77838,49,23.84982
6.779273,49,23.870506
8.374416,49,23.895066
6.823942,49,23.931527
7.92587,49,23.949405
7.775023,49,23.968216
6.607323,49,24.006928
5.367936,49,24.036905
7.997926,49,24.078562
6.845354,49,24.098054
7.244618,49,24.116839
7.358798,49,24.153684
6.747927,49,24.171696
7.233401,49,24.20631
7.222408,49,24.225742
8.04736,49,24.24405
7.295012,49,24.27918
8.203296,49,24.297446
7.523176,49,24.315126
7.066525,49,24.349453
5.814549,49,24.367466
7.480599,49,24.404892
6.028574,49,24.424804
5.812392,49,24.444252
5.90682,49,24.483028
6.927834,49,24.501716
6.041539,49,24.541861
6.942305,49,24.565191
6.606485,49,24.583348
7.384931,49,24.62155
7.237895,49,24.640812
7.318622,49,24.659942
6.825498,49,24.697621
7.295548,49,24.717839
7.108961,49,24.761094
6.63161,49,24.782137
6.290587,49,24.803628
5.306739,49,24.844247
7.1192,49,24.865938
7.361853,49,24.907024
7.182941,49,24.928948
6.243261,49,24.949934
6.337407,49,24.990736
6.300328,49,25.012188
7.691691,49,25.033427
7.171237,49,25.079239
6.833838,49,25.102742
6.584403,49,25.148349
6.53082,49,25.177641
7.375336,49,25.202655
6.880462,49,25.248241
7.136224,49,25.272268
6.766,49,25.296368
7.718268,49,25.342196
7.445882,49,25.365716
7.914329,49,25.414419
8.292895,49,25.435276
7.336939,49,25.452182
6.984746,49,25.487726
7.198034,49,25.506202
7.401913,49,25.542159
7.815213,49,25.561314
7.204549,49,25.580081
7.293806,49,25.615596
7.591302,49,25.633807
7.597609,49,25.650558
6.810353,49,25.689079
6.115094,49,25.707113
7.614307,49,25.748437
6.773204,49,25.766452
5.765819,49,25.784248
7.736054,49,25.818646
8.31649,49,25.835598
7.048202,49,25.866939
6.421165,49,25.88474
6.856126,49,25.901674
7.819492,49,25.935197
7.688101,49,25.952225
7.858665,49,25.970336
7.798122,49,26.005035
6.361889,49,26.023049
7.162927,49,26.056047
7.550329,49,26.074081
6.898505,49,26.091427
7.72625,49,26.125792
7.837899,49,26.144934
8.299239,49,26.164402
7.623781,49,26.204405
7.565647,49,26.233308
8.230383,49,26.287015
7.839815,49,26.313286
7.876788,49,26.339538
7.630889,49,26.391085
7.708287,49,26.418433
7.834801,49,26.479608
7.623205,49,26.499187
7.393118,49,26.517758
7.769213,49,26.553159
7.681547,49,26.570061
7.745577,49,26.587525
7.449551,49,26.622103
8.165577,49,26.640881
7.225463,49,26.674785
7.348347,49,26.69292
7.280644,49,26.710448
7.958928,49,26.745396
7.606738,49,26.76265
7.628274,49,26.79807
8.010998,49,26.816784
7.976324,49,26.838882
7.378108,49,26.874248
8.006739,49,26.892598
7.633599,49,26.910772
7.645229,49,26.945793
7.302988,49,26.963857
8.20886,49,27.011647
7.789604,49,27.039393
7.277542,49,27.066679
7.567946,49,27.120004
6.587935,49,27.14652
7.491525,49,27.197898
6.650502,49,27.224912
8.119709,49,27.251086
7.591384,49,27.308298
6.809462,49,27.335719
7.279425,49,27.363431
7.333781,49,27.416385
7.027812,49,27.437636
8.104433,49,27.475129
7.29168,49,27.497823
8.191297,49,27.51641
7.66433,49,27.551976
7.234736,49,27.570927
7.014377,49,27.589385
7.330274,49,27.624215
7.872808,49,27.642372
6.908475,49,27.677065
7.129896,49,27.695538
7.571788,49,27.714201
7.121556,49,27.74958
7.619035,49,27.767339
8.180157,49,27.802964
7.522923,49,27.821603
7.690061,49,27.840353
8.191315,49,27.875879
8.201255,49,27.892808
7.000339,49,27.909458
7.731141,49,27.944192
8.079917,49,27.961027
7.883844,49,27.994298
6.865198,49,28.023679
7.702564,49,28.039691
8.223073,49,28.078858
7.953773,49,28.096388
7.98824,49,28.130759
7.683166,49,28.149487
7.96498,49,28.166885
6.492368,49,28.201656
6.920132,49,28.2192
8.181567,49,28.23535
6.419507,49,28.268173
8.236027,49,28.28576
6.938718,49,28.319211
7.741041,49,28.336978
8.142592,49,28.354717
7.473513,49,28.395114
8.142514,49,28.412108
7.86347,49,28.446037
7.130153,49,28.464551
7.856668,49,28.482208
5.693876,49,28.530474
6.389593,49,28.547982
6.928941,49,28.565663
7.540004,49,28.599869
8.144493,49,28.617613
7.588213,49,28.650479
8.075067,49,28.669756
7.99753,49,28.689196
6.607341,49,28.746199
6.413113,49,28.773087
7.800173,49,28.800938
6.764781,49,28.848611
7.988007,49,28.867887
7.504745,49,28.906238
7.625178,49,28.924515
8.192459,49,28.942994
8.04018,49,28.983009
8.282684,49,29.002245
8.073316,49,29.038859
7.863878,49,29.057984
7.795853,49,29.077478
8.004938,49,29.128765
7.620148,49,29.146631
7.537807,49,29.164819
8.115556,49,29.199673
7.975334,49,29.218106
7.204461,49,29.252193
7.649245,49,29.271011
7.814644,49,29.287884
7.750865,49,29.321659
7.759086,49,29.339539
8.290525,49,29.374509
7.72949,49,29.394488
8.118846,49,29.413328
8.077179,49,29.44983
7.783876,49,29.469663
7.603245,49,29.48889
8.063498,49,29.529233
7.589906,49,29.546521
8.114151,49,29.582475
7.990852,49,29.602141
7.562544,49,29.630559
8.092865,49,29.667923
8.193112,49,29.68714
8.204647,49,29.706996
6.544178,49,29.744773
8.030918,49,29.762228
6.657601,49,29.797853
7.124728,49,29.817114
7.573097,49,29.835217
8.236027,49,29.871412
7.841446,49,29.889805
8.062841,49,29.92289
8.096592,49,29.940483
8.065628,49,29.956629
8.144493,49,29.990553
8.254467,49,30.007502
8.061141,49,30.025194
7.69485,49,30.059394
6.744208,49,30.077595
8.098203,49,30.111191
8.109498,49,30.139232
8.311518,49,30.156823
8.010998,49,30.190541
8.109263,49,30.207261
8.132774,49,30.241518
8.200169,49,30.260059
7.589374,49,30.279969
8.068983,49,30.316655
7.649245,49,30.336771
8.298676,49,30.355661
6.903608,49,30.392518
